C,C#,D,D#,E,F,F#,G,G#,A,A#,B,label
0.080566604,0.0,0.145217771,0.0,0.071120663,0.0,0.106130115,0.209591597,0.0,0.148680352,0.0,0.238692897,8
0.020607416,0.0,0.230848409,0.0,0.0,0.0,0.0,0.430667777,0.0,0.030911124,0.0,0.286965274,8
0.202202034,0.0,0.16687167,0.0,0.136432737,0.152528906,0.003985058,0.198336131,0.0,0.043800029,0.0,0.095843435,1
0.0,0.116420626,0.0,0.133052144,0.0,0.033263036,0.340601631,0.0,0.177084349,0.0,0.182946698,0.016631518,7
0.118571968,0.0,0.195536082,0.031834155,0.0,0.245842928,0.0,0.156037603,0.0,0.066352506,0.185824758,0.0,11
0.077534261,0.033574866,0.196056006,0.0,0.047819445,0.0,0.085753974,0.273702497,0.0,0.097334127,0.0,0.188224824,8
0.0,0.155173191,0.0,0.245974186,0.010029107,0.0,0.274787746,0.0,0.092088252,0.0,0.0,0.221947518,12
0.06256744,0.0,0.204095448,0.02112301,0.10696287,0.140120588,0.0,0.065390761,0.0,0.310422847,0.084236681,0.005080355,15
0.257055865,0.0,0.071459798,0.0,0.0,0.418352195,0.0,0.038576479,0.0,0.214555664,0.0,0.0,6
0.257055865,0.0,0.071459798,0.0,0.0,0.418352195,0.0,0.038576479,0.0,0.214555664,0.0,0.0,6
0.308899505,0.0,0.108684151,0.0,0.213460068,0.075850862,0.0,0.209465659,0.0,0.027879918,0.0,0.055759836,1
0.0,0.162056298,0.0,0.162056298,0.0,0.171277035,0.171277035,0.0,0.247694816,0.0,0.085638517,0.0,2
0.0,0.039018847,0.215017739,0.0,0.23354795,0.0,0.184188192,0.029836289,0.0,0.242730507,0.0,0.055660477,10
0.0,0.039018847,0.215017739,0.0,0.23354795,0.0,0.184188192,0.029836289,0.0,0.242730507,0.0,0.055660477,10
0.470326821,0.0,0.115027987,0.0,0.124717575,0.031882937,0.0,0.038758355,0.0,0.140240773,0.0,0.079045553,1
0.205485381,0.0,0.130869673,0.0,0.158320673,0.26322312,0.0,0.142862188,0.0,0.06897632,0.030262644,0.0,6
0.030421677,0.0,0.091265032,0.0,0.030421677,0.0,0.091265032,0.452409807,0.0,0.152108387,0.0,0.152108387,8
0.255230294,0.0,0.282676306,0.0,0.110410519,0.096609205,0.0,0.199868416,0.0,0.041403945,0.0,0.013801315,1
0.0,0.139232114,0.0,0.139232114,0.164607316,0.0,0.139232114,0.0,0.139232114,0.139232114,0.0,0.139232114,5
0.24567337,0.376699167,0.032756449,0.081891123,0.0,0.016378225,0.0,0.0,0.172435507,0.0,0.074166159,0.0,2
0.074174421,0.197244671,0.0,0.10708873,0.132680724,0.0,0.030312749,0.018269678,0.114169862,0.129055676,0.098501744,0.098501744,14
0.0,0.139232114,0.0,0.139232114,0.164607316,0.0,0.139232114,0.0,0.139232114,0.139232114,0.0,0.139232114,5
0.24987982,0.0,0.08303856,0.0,0.20116117,0.055141217,0.008238509,0.176265695,0.016477018,0.115992596,0.016477018,0.077328397,1
0.157161723,0.0,0.108787872,0.200425985,0.011205031,0.108555248,0.0,0.18431823,0.059562283,0.017823063,0.125688437,0.026472126,13
0.232583414,0.0,0.130517612,0.0,0.198041241,0.069893889,0.0,0.180928069,0.004635083,0.096756601,0.004635083,0.082009008,1
0.211102834,0.012063617,0.155200449,0.0,0.168638778,0.062712203,0.004479443,0.179037684,0.004479443,0.11096667,0.013438329,0.07788055,1
0.22499124,0.0,0.147011555,0.0,0.166489694,0.077059551,0.009405413,0.189820743,0.0,0.106719022,0.0,0.078502782,1
0.199738349,0.016416896,0.158435398,0.0,0.191804749,0.053343373,0.017781124,0.154783357,0.004445281,0.115357484,0.008890562,0.079003427,1
0.191074713,0.004415911,0.129214187,0.0,0.163812873,0.07948639,0.013247732,0.177707112,0.011892517,0.11262941,0.004415911,0.112103245,1
0.188666312,0.004111932,0.089643764,0.136686773,0.026259673,0.123554133,0.004111932,0.184706105,0.105038692,0.006961938,0.095775207,0.034483537,13
0.159556679,0.005789623,0.120954348,0.164969463,0.009802447,0.106696399,0.0,0.200549231,0.063685848,0.005789623,0.094507669,0.067698672,13
0.168879222,0.007458125,0.12081023,0.0,0.146406924,0.122802002,0.020085525,0.189097797,0.0,0.141829222,0.035001776,0.047629176,1
0.157622216,0.014829838,0.163840479,0.0,0.13586825,0.11876282,0.014829838,0.176690084,0.0,0.131317067,0.042213923,0.044025485,1
0.216893841,0.0,0.120763982,0.0,0.150472254,0.103920572,0.014762159,0.202079404,0.0,0.105261954,0.014762159,0.071083675,1
0.210950096,0.022385941,0.085813253,0.12848353,0.033367537,0.127493101,0.008312312,0.172578009,0.061396505,0.024936936,0.091033532,0.033249248,13
0.20363872,0.0,0.099863258,0.0,0.127306798,0.144752045,0.016289509,0.171679123,0.0,0.154376967,0.035724627,0.046368955,1
0.190171488,0.0,0.095062876,0.195698494,0.014147217,0.121614966,0.0,0.19401143,0.099109453,0.0,0.063336872,0.026847204,13
0.173696099,0.0,0.127600224,0.178665437,0.007590624,0.133655885,0.0,0.181480999,0.058282284,0.026899516,0.067296407,0.044832526,13
0.20874849,0.005801692,0.149770353,0.0,0.189688036,0.070740653,0.005801692,0.171418701,0.005801692,0.106983805,0.0,0.085244884,1
0.238741614,0.006631368,0.153546904,0.0,0.179683925,0.02908659,0.0,0.210175556,0.0,0.082137532,0.0,0.099996511,1
0.19756506,0.0,0.133829434,0.0,0.131963431,0.090826592,0.017432541,0.228404543,0.0,0.110488781,0.005810847,0.08367877,1
0.198189535,0.0,0.094347758,0.183530493,0.006871268,0.077807707,0.0,0.234850185,0.045990125,0.013742535,0.084678975,0.059991419,13
0.174257925,0.019981456,0.138979998,0.0,0.1327315,0.110831077,0.011520973,0.169707355,0.010637045,0.129744052,0.0,0.101608618,1
0.232372253,0.0,0.15507606,0.0,0.140077564,0.053575799,0.051251102,0.191186883,0.0,0.071146194,0.0,0.105314145,1
0.215119799,0.0,0.121685915,0.003082039,0.124462191,0.157103124,0.0,0.171142539,0.0,0.124890721,0.052639135,0.029874536,1
0.171094792,0.004977833,0.136323995,0.0,0.164040297,0.119467993,0.0,0.133597795,0.019911332,0.151029301,0.014933499,0.084623162,1
0.163752754,0.0,0.11797736,0.141341043,0.029006978,0.152869225,0.0,0.13866194,0.071959882,0.014503489,0.144228727,0.025698602,13
0.151598929,0.0,0.097437775,0.141902606,0.020699486,0.152463063,0.0,0.197258608,0.063456969,0.004397282,0.14575109,0.025034193,4
0.192978249,0.0,0.14366818,0.0,0.146103493,0.051639131,0.0272114,0.21473419,0.0,0.121778927,0.0,0.101886429,1
0.207543964,0.0,0.142565418,0.120341967,0.010657134,0.141319674,0.0,0.163727736,0.052909208,0.021163683,0.081902197,0.05786902,13
0.196044694,0.004837547,0.116331914,0.100367019,0.014581481,0.132563062,0.0,0.202469665,0.059918885,0.035731151,0.083872724,0.053281857,13
0.19453092,0.0,0.166038744,0.125487355,0.010195296,0.118372426,0.0,0.199491467,0.038939681,0.030369798,0.045639422,0.070934891,13
0.212848353,0.005918838,0.112457928,0.0,0.184206149,0.104722636,0.0,0.139532842,0.017756515,0.129202304,0.0,0.093354436,1
0.175922222,0.028445097,0.129196749,0.005689019,0.184939914,0.100656426,0.005689019,0.132353273,0.017067058,0.122876644,0.005689019,0.091475559,1
0.221442501,0.0,0.110423536,0.0,0.166524791,0.091919832,0.0,0.144033783,0.013348387,0.16338267,0.0,0.088924499,1
0.188202464,0.015458124,0.152999906,0.0,0.149192322,0.135960449,0.0,0.168958298,0.0,0.117090525,0.005152708,0.066985204,1
0.248905695,0.0,0.138859247,0.0,0.183120012,0.06218695,0.0,0.213027547,0.0,0.050576703,0.0,0.103323847,1
0.281438184,0.0,0.103397414,0.0,0.185128001,0.061930241,0.0,0.167006928,0.023097434,0.077665614,0.0,0.100336185,1
0.194964356,0.0,0.117236705,0.0,0.153958219,0.07319252,0.006428171,0.180642984,0.012856342,0.150931923,0.0,0.10978878,1
0.168325568,0.0,0.12917419,0.0082979,0.159305362,0.074362098,0.062986289,0.133103905,0.017793176,0.156319321,0.0,0.090332192,1
0.1623076,0.023164643,0.121665578,0.004632929,0.163254942,0.111267836,0.013898786,0.166311131,0.0,0.132626462,0.007844041,0.093026052,1
0.221189376,0.0,0.138602213,0.0,0.150530867,0.066418175,0.005994788,0.198185929,0.005994788,0.08440254,0.0,0.128681323,1
0.249463296,0.0,0.115152742,0.146142467,0.011730689,0.083783947,0.0,0.22652343,0.058239057,0.011647811,0.048476049,0.048840512,13
0.22810422,0.0,0.114334537,0.152889086,0.00930636,0.097688242,0.0,0.207307316,0.049469566,0.020299597,0.048988596,0.07161248,13
0.228382435,0.0,0.14320738,0.0,0.172250499,0.019054976,0.038109953,0.214292844,0.0,0.108482007,0.0,0.076219905,1
0.163046672,0.010545179,0.148753999,0.0,0.157606022,0.105451793,0.00527259,0.170262575,0.010545179,0.152663394,0.010545179,0.065307417,1
0.199987367,0.0,0.140306717,0.167854726,0.009045875,0.107279152,0.0,0.158426334,0.10563949,0.0,0.079403729,0.03205661,13
0.195628168,0.0,0.116298965,0.11321649,0.019624517,0.101550924,0.014666211,0.225634731,0.078219791,0.022943362,0.04827549,0.063941351,13
0.192443404,0.0,0.130135033,0.170752873,0.014083749,0.08877597,0.0,0.214658823,0.031273,0.023362097,0.087790856,0.046724194,13
0.208949326,0.0,0.147993107,0.138620173,0.010195385,0.121248219,0.0,0.175114855,0.045555096,0.020246709,0.09158371,0.040493419,13
0.20398228,0.0,0.12116743,0.154063676,0.009975632,0.115512084,0.004952577,0.183267892,0.034668039,0.039620616,0.083264004,0.04952577,13
0.197859088,0.017603308,0.078113261,0.111169517,0.050108752,0.160727457,0.008801654,0.152601867,0.076513713,0.032505444,0.105194286,0.008801654,13
0.18069649,0.024712306,0.123179245,0.0,0.157815484,0.036704538,0.045880672,0.166991619,0.009176134,0.165898264,0.018352269,0.070592979,1
0.136751995,0.017530096,0.136371658,0.011686731,0.144471806,0.07642724,0.035060192,0.160291764,0.005843365,0.140704259,0.023373461,0.111487432,8
0.151433105,0.0,0.124277594,0.148712959,0.0,0.108289783,0.006853399,0.212742696,0.073827732,0.013706798,0.095730943,0.06442499,13
0.198855542,0.0,0.152125538,0.126925672,0.020310392,0.103239732,0.010999083,0.190655582,0.069962787,0.040620783,0.043996332,0.042308557,13
0.164035361,0.0,0.113726794,0.175425853,0.014215849,0.123364554,0.003029092,0.167131273,0.094932855,0.009087275,0.086585627,0.048465466,13
0.200328827,0.004575703,0.153204914,0.004575703,0.143809321,0.056675627,0.021474259,0.185714402,0.018302811,0.084194957,0.0,0.127143476,1
0.213954319,0.004338853,0.133861171,0.004338853,0.155862634,0.087013071,0.026033115,0.117113511,0.034167765,0.118716605,0.011684992,0.092915112,1
0.201415795,0.008807591,0.098115655,0.0,0.173871923,0.069559731,0.017615182,0.140251445,0.014679319,0.175631122,0.0,0.100052237,22
0.203707179,0.005693449,0.097347443,0.008540174,0.160367434,0.077087368,0.021900156,0.153967098,0.017080348,0.141961845,0.0,0.112347506,1
0.209858825,0.002678783,0.1119755,0.002678783,0.151949763,0.103482792,0.023286945,0.148121514,0.008036349,0.147461751,0.013393915,0.077075081,1
0.195656654,0.005921808,0.102864214,0.005921808,0.165072075,0.051478906,0.053296271,0.163326648,0.011843616,0.144621093,0.0,0.099996908,1
0.192549764,0.005043353,0.139506695,0.143074045,0.009771091,0.099403714,0.0,0.172729239,0.09971933,0.005043353,0.092412553,0.040746862,13
0.198809777,0.005213344,0.11030726,0.165143822,0.010100434,0.102101694,0.0,0.196875225,0.083827022,0.010426688,0.080287808,0.036906926,13
0.193193132,0.009350421,0.116292985,0.0,0.148028308,0.082428629,0.009652449,0.137381049,0.02747621,0.163248918,0.004826225,0.108121674,1
0.204447785,0.014490552,0.09964086,0.0,0.160113349,0.084253805,0.014799268,0.142168188,0.019732357,0.174586098,0.004933089,0.080834649,1
0.165488256,0.0,0.113595344,0.190363272,0.016077712,0.103046167,0.0,0.203229559,0.05934755,0.006851629,0.104316552,0.037683959,13
